Gene-ID	SRR23440068	SRR23440069	SRR23440070
BSU_08660	97429.63	58644.09	34656.15
BSU_09230	27123.59	12441.06	8713.75
BSU_01910	4381.38	21970.88	19198.41
BSU_11740	19919.57	992.83	682.6
BSU_22200	19706.77	160.55	106.22
BSU_11760	19649.46	383.33	261.52
BSU_11750	18061.45	845.04	523.97
BSU_27840	12715.11	16119.49	14990.09
BSU_22800	3636.0	11558.37	14215.23
BSU_11139	13825.75	6076.76	4193.64
BSU_28410	13133.89	1952.53	1000.47
BSU_10300	4661.65	11928.61	10830.12
BSU_27470	11631.22	5959.85	4091.78
BSU_39580	11129.49	1219.58	584.73
BSU_29570	9703.51	5769.62	3516.76
BSU_37920	9529.1	8453.16	6743.66
BSU_11780	9494.21	383.79	237.11
BSU_19280	8491.9	5828.81	4801.92
BSU_16720	2607.78	8099.0	5588.82
BSU_02240	7404.34	7378.86	7299.9
